Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,
FDM22,14,Regular,0.04,Snack Foods,53,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDJ03,NA,Regular,0.07,Dairy,49,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDU14,17.75,Low Fat,0.00,Dairy,250,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDB33,17.75,Low Fat,0.02,Fruits and Vegetables,159,OUT010,1998,NA,Tier 3,Grocery Store,
FDP27,8.155,Low Fat,0.12,Meat,191,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDO38,17.25,Low Fat,0.12,Canned,77,OUT010,1998,NA,Tier 3,Grocery Store,
FDE28,NA,Regular,0.13,Frozen Foods,232,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDO27,6.175,Regular,0.18,Meat,95,OUT035,2004,Small,Tier 2,Supermarket Type1,
DRL23,NA,Low Fat,0.02,Hard Drinks,107,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDS28,8.18,Regular,0.08,Frozen Foods,56,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDX24,8.355,Low Fat,0.01,Baking Goods,93,OUT013,1987,High,Tier 3,Supermarket Type1,
FDZ02,6.905,Regular,0.04,Dairy,96,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDL46,20.35,Low Fat,0.05,Snack Foods,117,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDS60,NA,Low Fat,0.03,Baking Goods,179,OUT027,1985,Medium,Tier 3,Supermarket Type3,
NCO06,19.25,Low Fat,0.11,Household,33,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDO16,5.48,Low Fat,0.02,Frozen Foods,85,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDC60,5.425,Regular,0.11,Baking Goods,87,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDA48,12.1,Low Fat,0.12,Baking Goods,220,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDZ36,NA,Regular,0.00,Baking Goods,186,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDK27,11,Low Fat,0.01,Meat,121,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDW23,5.765,Low Fat,0.08,Baking Goods,39,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDM14,13.8,Low Fat,0.01,Canned,110,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDM14,13.8,Low Fat,0.01,Canned,108,OUT013,1987,High,Tier 3,Supermarket Type1,
FDW60,5.44,Regular,0.02,Baking Goods,178,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDE21,12.8,Low Fat,0.02,Fruits and Vegetables,116,OUT013,1987,High,Tier 3,Supermarket Type1,
NCM42,6.13,Low Fat,0.03,Household,109,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDY59,8.195,Low Fat,0.05,Baking Goods,94,OUT010,1998,NA,Tier 3,Grocery Store,
DRI49,14.15,Low Fat,0.18,Soft Drinks,81,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDT28,NA,Low Fat,0.11,Frozen Foods,151,OUT019,1985,Small,Tier 1,Grocery Store,
FDQ22,16.75,Low Fat,0.03,Snack Foods,40,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDR60,14.3,Low Fat,0.13,Baking Goods,77,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDC50,NA,Low Fat,0.24,Canned,95,OUT019,1985,Small,Tier 1,Grocery Store,
FDV24,5.635,Low Fat,0.10,Baking Goods,152,OUT013,1987,High,Tier 3,Supermarket Type1,
DRF48,5.73,Low Fat,0.00,Soft Drinks,188,OUT010,1998,NA,Tier 3,Grocery Store,
FDQ47,7.155,Regular,0.17,Breads,37,OUT046,1997,Small,Tier 1,Supermarket Type1,
DRN36,15.2,low fat,0.05,Soft Drinks,97,OUT049,1999,Medium,Tier 1,Supermarket Type1,
NCY06,15.25,Low Fat,0.06,Household,129,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDE52,10.395,Regular,0.03,Dairy,90,OUT035,2004,Small,Tier 2,Supermarket Type1,
NCB54,8.76,Low Fat,0.05,Health and Hygiene,127,OUT045,2002,NA,Tier 2,Supermarket Type1,
NCF31,9.13,Low Fat,0.05,Household,153,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDJ08,NA,Low Fat,0.11,Fruits and Vegetables,190,OUT027,1985,Medium,Tier 3,Supermarket Type3,
NCC07,19.6,Low Fat,0.02,Household,106,OUT017,2007,NA,Tier 2,Supermarket Type1,
NCD19,NA,Low Fat,0.01,Household,54,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDL46,20.35,Low Fat,0.00,Snack Foods,119,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDM20,10,Low Fat,0.04,Fruits and Vegetables,246,OUT045,2002,NA,Tier 2,Supermarket Type1,
NCI06,11.3,Low Fat,0.08,Household,180,OUT010,1998,NA,Tier 3,Grocery Store,
DRM11,6.57,Low Fat,0.07,Hard Drinks,259,OUT035,2004,Small,Tier 2,Supermarket Type1,
NCH07,13.15,Low Fat,0.09,Household,158,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDS23,4.635,Low Fat,0.14,Breads,129,OUT013,1987,High,Tier 3,Supermarket Type1,
FDO49,10.6,Regular,0.03,Breakfast,49,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDS35,9.3,Low Fat,0.11,Breads,65,OUT049,1999,Medium,Tier 1,Supermarket Type1,
DRK39,7.02,Low Fat,0.05,Dairy,83,OUT045,2002,NA,Tier 2,Supermarket Type1,
DRI39,13.8,Low Fat,0.10,Dairy,58,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDV04,7.825,Regular,0.15,Frozen Foods,158,OUT017,2007,NA,Tier 2,Supermarket Type1,
NCN14,19.1,Low Fat,0.09,Others,183,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDH08,7.51,Low Fat,0.02,Fruits and Vegetables,231,OUT013,1987,High,Tier 3,Supermarket Type1,
FDS20,8.85,Low Fat,0.05,Fruits and Vegetables,183,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDV40,17.35,Low Fat,0.01,Frozen Foods,75,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDZ48,17.75,Low Fat,0.13,Baking Goods,111,OUT010,1998,NA,Tier 3,Grocery Store,
FDS24,NA,Regular,0.06,Baking Goods,88,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDK44,16.6,Low Fat,0.12,Fruits and Vegetables,174,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDS48,15.15,Low Fat,0.00,Baking Goods,150,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDK26,5.46,Regular,0.05,Canned,187,OUT010,1998,NA,Tier 3,Grocery Store,
FDD23,9.5,Regular,0.05,Starchy Foods,189,OUT045,2002,NA,Tier 2,Supermarket Type1,
NCH54,13.5,Low Fat,0.07,Household,161,OUT017,2007,NA,Tier 2,Supermarket Type1,
NCP14,8.275,Low Fat,0.18,Household,107,OUT010,1998,NA,Tier 3,Grocery Store,
FDM60,10.8,Regular,0.08,Baking Goods,39,OUT010,1998,NA,Tier 3,Grocery Store,
FDV24,5.635,Low Fat,0.10,Baking Goods,151,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDH08,7.51,Low Fat,0.02,Fruits and Vegetables,229,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDS12,NA,Low Fat,0.17,Baking Goods,128,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDR39,NA,Low Fat,0.08,Meat,181,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDP12,NA,Regular,0.05,Baking Goods,36,OUT027,1985,Medium,Tier 3,Supermarket Type3,
DRF60,NA,Low Fat,0.05,Soft Drinks,236,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDC09,15.5,Regular,0.03,Fruits and Vegetables,103,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDF50,4.905,low fat,0.12,Canned,199,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDG28,9.285,Regular,0.05,Frozen Foods,244,OUT035,2004,Small,Tier 2,Supermarket Type1,
NCE19,8.97,Low Fat,0.09,Household,55,OUT017,2007,NA,Tier 2,Supermarket Type1,
NCM53,18.75,Low Fat,0.09,Health and Hygiene,108,OUT010,1998,NA,Tier 3,Grocery Store,
NCN18,8.895,Low Fat,0.00,Household,111,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDF32,16.35,Low Fat,0.07,Fruits and Vegetables,199,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDF11,10.195,Regular,0.02,Starchy Foods,239,OUT013,1987,High,Tier 3,Supermarket Type1,
DRI59,9.5,Low Fat,0.04,Hard Drinks,225,OUT049,1999,Medium,Tier 1,Supermarket Type1,
NCG54,12.1,Low Fat,0.08,Household,170,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDM44,12.5,Low Fat,0.03,Fruits and Vegetables,101,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDT57,15.2,Low Fat,0.02,Snack Foods,236,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDV24,5.635,Low Fat,0.10,Baking Goods,151,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDI50,NA,Regular,0.05,Canned,228,OUT019,1985,Small,Tier 1,Grocery Store,
FDS09,8.895,Regular,0.08,Snack Foods,51,OUT035,2004,Small,Tier 2,Supermarket Type1,
NCC31,NA,Low Fat,0.02,Household,155,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDQ07,NA,Regular,0.15,Fruits and Vegetables,219,OUT019,1985,Small,Tier 1,Grocery Store,
FDC22,6.89,Regular,0.14,Snack Foods,192,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDZ56,16.25,Low Fat,0.03,Fruits and Vegetables,169,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDZ40,NA,Low Fat,0.07,Frozen Foods,54,OUT019,1985,Small,Tier 1,Grocery Store,
FDS46,NA,Regular,0.05,Snack Foods,118,OUT027,1985,Medium,Tier 3,Supermarket Type3,
DRD24,13.85,Low Fat,0.03,Soft Drinks,141,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDV45,16.75,Low Fat,0.05,Snack Foods,189,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDL26,18,Low Fat,0.07,Canned,156,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDA56,9.21,Low Fat,0.01,Fruits and Vegetables,123,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDN27,20.85,Low Fat,0.04,Meat,118,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDM20,10,Low Fat,0.04,Fruits and Vegetables,245,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDO16,5.48,Low Fat,0.02,Frozen Foods,83,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDL03,19.25,Regular,0.03,Meat,196,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDE58,18.5,Low Fat,0.05,Snack Foods,117,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDI02,NA,Regular,0.11,Canned,112,OUT027,1985,Medium,Tier 3,Supermarket Type3,
NCC55,NA,Low Fat,0.11,Household,39,OUT019,1985,Small,Tier 1,Grocery Store,
FDR03,15.7,Regular,0.01,Meat,206,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDB14,20.25,Regular,0.10,Canned,93,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDR45,10.8,Low Fat,0.03,Snack Foods,241,OUT013,1987,High,Tier 3,Supermarket Type1,
NCN07,18.5,Low Fat,0.03,Others,130,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDM51,NA,Regular,0.05,Meat,102,OUT019,1985,Small,Tier 1,Grocery Store,
FDT52,NA,Regular,0.05,Frozen Foods,245,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDL26,18,Low Fat,0.07,Canned,154,OUT046,1997,Small,Tier 1,Supermarket Type1,
NCZ42,10.5,Low Fat,0.01,Household,239,OUT046,1997,Small,Tier 1,Supermarket Type1,
DRI47,NA,Low Fat,0.04,Hard Drinks,146,OUT019,1985,Small,Tier 1,Grocery Store,
FDW40,14,Regular,0.11,Frozen Foods,141,OUT013,1987,High,Tier 3,Supermarket Type1,
FDN34,15.6,Regular,0.00,Snack Foods,169,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDS01,11.6,Low Fat,0.02,Canned,178,OUT035,2004,Small,Tier 2,Supermarket Type1,
NCG55,16.25,Low Fat,0.04,Household,116,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDC11,20.5,Low Fat,0.14,Starchy Foods,87,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDX35,5.035,Regular,0.08,Breads,226,OUT018,2009,Medium,Tier 3,Supermarket Type2,
NCB06,17.6,Low Fat,0.08,Health and Hygiene,160,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDR09,NA,Low Fat,0.14,Snack Foods,260,OUT019,1985,Small,Tier 1,Grocery Store,
FDC53,8.68,Low Fat,0.01,Frozen Foods,97,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDY45,17.5,Low Fat,0.00,Snack Foods,255,OUT013,1987,High,Tier 3,Supermarket Type1,
FDA22,7.435,Low Fat,0.14,Starchy Foods,169,OUT010,1998,NA,Tier 3,Grocery Store,
FDE02,8.71,Low Fat,0.12,Canned,95,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDW21,5.34,Regular,0.01,Snack Foods,101,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDV34,10.695,Regular,0.01,Snack Foods,74,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDS59,14.8,Regular,0.04,Breads,109,OUT049,1999,Medium,Tier 1,Supermarket Type1,
NCW17,18,Low Fat,0.02,Health and Hygiene,128,OUT017,2007,NA,Tier 2,Supermarket Type1,
NCK54,12.15,Low Fat,0.03,Household,117,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDG17,NA,Regular,0.06,Frozen Foods,244,OUT019,1985,Small,Tier 1,Grocery Store,
FDG35,21.2,Regular,0.00,Starchy Foods,173,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDD08,8.3,Low Fat,0.06,Fruits and Vegetables,38,OUT010,1998,NA,Tier 3,Grocery Store,
NCO07,9.06,Low Fat,0.01,Others,211,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDJ10,5.095,Regular,0.22,Snack Foods,142,OUT010,1998,NA,Tier 3,Grocery Store,
FDW36,11.15,Low Fat,0.06,Baking Goods,104,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDW21,5.34,Regular,0.00,Snack Foods,101,OUT010,1998,NA,Tier 3,Grocery Store,
FDY19,19.75,Low Fat,0.04,Fruits and Vegetables,118,OUT017,2007,NA,Tier 2,Supermarket Type1,
DRE03,19.6,Low Fat,0.02,Dairy,47,OUT013,1987,High,Tier 3,Supermarket Type1,
NCC55,10.695,Low Fat,0.06,Household,38,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDH52,9.42,Regular,0.07,Frozen Foods,64,OUT010,1998,NA,Tier 3,Grocery Store,
FDO09,13.5,Regular,0.13,Snack Foods,265,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDU43,19.35,Regular,0.06,Fruits and Vegetables,239,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDX09,9,Low Fat,0.11,Snack Foods,175,OUT010,1998,NA,Tier 3,Grocery Store,
FDH40,NA,Regular,0.14,Frozen Foods,83,OUT019,1985,Small,Tier 1,Grocery Store,
FDW58,20.75,Low Fat,0.01,Snack Foods,104,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDC47,15,Low Fat,0.12,Snack Foods,227,OUT017,2007,NA,Tier 2,Supermarket Type1,
NCR41,17.85,Low Fat,0.02,Health and Hygiene,94,OUT035,2004,Small,Tier 2,Supermarket Type1,
DRG49,7.81,Low Fat,0.07,Soft Drinks,245,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDC52,NA,Regular,0.01,Dairy,152,OUT027,1985,Medium,Tier 3,Supermarket Type3,
